phrasal	meaning	significado	phrase	frase
add up		somar; resultar; aumentar gradualmente; equivaler; fazer sentido; indicar	Two wrongs don't add up to a right.	Dois erros não resultam em um acerto.
add up		resultar	All my hard work added up to little improvement in that area.	Todo o meu duro esforço resultou em poucas melhoras nesta área.
add up		aumentar gradualmente	Small improvements add up. That is the essence of the Kaizen method.	Pequenas melhoras aumentam gradualmente. Essa é a essência do método Kaizen.
add up		equivaler	Does this add up to what I owe you?	Isso equivale ao que eu lhe devo?
add up		fazer sentido	her story just doesn't add up	a história dela simplesmente não faz sentido.
add up		indicar	Everything adds up to his having gone out at night.	Tudo indica que ele tinha saido de noite.
ask for		solicitar algo	I asked for that report days ago!	Eu pedi esse relatório há dias!
ask for		convidar	Janet asked us for dinner.	Janet nos convidou para o jantar.
ask to		convidar	Janet asked us to a party Friday evening	Janet nos convidou para uma festa sexta-feira à noite.
ask out		convidar alguém para sair	He asked me out for coffee	Ele me chamou para um café.
back down		recuar durante uma discussão	I never back down when I know I'm right.	Eu nunca recuo quando sei que estou certa.
back off		se afastar física ou emocionalmente; deixar alguém em paz	The police told them to back off from the crime scene.	A polícia disse para eles se afastarem da cena do crime.
back off		deixar alguém em paz	Back off! There’s no need to yell at me.	Me deixe em paz! Não precisa gritar comigo.
back up		apoiar alguém ou uma ideia; dar suporte	I need you to back me up in this job.	Eu preciso que você me dê suporte neste trabalho.
back up		dar suporte	his mother backed him up on everything	a mãe dele o apoiou em tudo.
backup		copia de segurança		
bail out		resgatar, especialmente financeiramente	They were counting on an inheritance to bail them out.	Eles estavam contando com uma herança para resgatá-los.
bail out		Desistir de algo, abandonar a responsabilidade	The company was not doing well, so John decided to bail out while he could still find another job .	A empresa não estava indo bem, então John decidiu abandonar enquanto ainda conseguia encontrar outro emprego.
bail out		pular de um avião em voo usando paraquedas	When the second engine sputtered, the pilot decided to bail out.	Quando o segundo motor estalou, o piloto decidiu pular.
bail out		pagar fiança	I had to spend the weekend in jail because I had nobody to bail me out.	Tive de passar o fim-de-semana na prisão porque não tinha ninguém para me pagar fiança.
bail out		esvaziar água acumulada de um barco	Would you bail this boat out? I will bail out the boat.	Você salvaria este barco? Eu irei tirar a água do barco.
bail out		resgatar ou socorrer alguém em grande dificuldade	I was going to be late with my report, but my roommate lent a hand and bailed me out at the last minute.	Ia atrasar-me com o meu relatório, mas o meu colega de quarto deu-me uma mão e me socorreu no último minuto.
bail out		remover a água de um local indesejado, normalmente usando um balde.	After all that rain, my dad and I have been bailing out our basement all day.	Depois de toda aquela chuva, o meu pai e eu temos tirado a água do nosso porão o dia todo.
bargain for		levar em conta, tomar em conta	We hadn't bargained for there being so much traffic, and we missed the plane.	
bear out		confirmar uma verdade	The research bears him out	A pesquisa o confirma.
bear out		confirmar uma verdade	The research bears this claim out.	A pesquisa confirma essa afirmação.
bear out		confirmar uma verdade	The police investigations didn't bear out the victim's claims.	As investigações policiais não confirmaram as alegações da vítima.
bear out		confirmar uma verdade	This bears it out.	Isto confirma tudo.
bear out		confirmar uma verdade	It bears this out.	Isso confirma isso.
block off		obstruir	We had to block off that section of the restaurant for a private party.	Tivemos que bloquear essa seção do restaurante para uma festa privada.
blow up		explodir	Terrorists blew up the embassy.	Terroristas explodiram a embaixada.
blow up		encher de ar	Would you help me blow up these balloons?	Me ajude a encher estes balões?
blow up		explodir ou destruir por explosão	They plan to blow up that old apartment building.	Eles planejam explodir aquele antigo prédio.
blow up		se tornar muito popular, geralmente de repente.		
blow up		exagerar	I hope no one blows the story up.	Espero que ninguém exagere na história.
blow up		inchar	How big can you blow this picture up?	Quão grande você pode expandir essa imagem?
blow up		despencar ou cair em ruínas	The whole project blew up.	Todo o projeto ficou em ruínas.
blowup		uma discussão ou briga intensa	Our neighbors had a real blowup last night	Os nossos vizinhos tiveram uma verdadeira discussão intensa ontem à noite.
blowup		falha ou colapso	The blowup of the management team was another big setback for the fledgling company.	O desmanche da equipe de gestão foi outro grande revés para a nova empresa.
break down		perder o controle emocional; ficar triste	He broke down in tears after reading the news. 	Ele desabou em lágrimas depois de ler as notícias.
break down		ficar triste		
break in		arrombar; invadir	Peter knows who broke into his house last week. 	Peter sabe quem invadiu sua casa semana passada.
break off		parar de fazer algo	She broke off their conversation to answer her mobile phone.	Ela interrompeu a conversa deles para atender o celular dela.
break off		terminar um relacionamento		
break out		quando uma guerra ou doença inicia	Fighting has broken out on the southern border of the country	
break out		escapar, especialmente forçosamente		
break up		terminar um relacionamento; interromper uma briga	Everybody knew that Stela and John would eventually break up.	Todo mundo sabia que Stela e John iam acabar terminando o namoro.
break up		terminar relacionamento	They broke up after a three-year relationship.	Eles terminaram depois de um relacionamento de 3 anos.
break up		chegar a um fim	The meething broke up in confusion.	
break up		quebrar ou separar em pedaços		
bring about		fazer acontecer	The digital revolution has brought about profound changes in our society.	A revolução digital trouxe mudanças profundas na nossa sociedade.
bring about		fazer acontecer		
bring along		levar algo para um certo lugar		
bring back		retornar algo		
bring down		reduzir		
bring in		mover algo para dentro		
bring off		ter sucesso em algo	The team tried for years to win the competition and they finally brought it off.	
bring on		causar o início de uma doença	Tom claimed that the dusty room had brought on a severe attack of asthma.	
bring on		causar um problema para	I sympathize with your problem, but really, you brought it on yourself	
bring out		publicar, lançar	David is bringing out a new DVD next summer.	
bring round		persuadir alguém a concordar	I argued with her all day, but couldn't bring her round to my point of view.	
bring up		mencionar	I'd like to bring up another matter, if I may.	
bring up		subir		
bring upon		causar um problema para		
build up		aumentar em tamanho	Tension between the rival groups has built up over the past few weeks.	
build up		fortalecer, tonificar		
burn down		queimar algo até a destruição	Over 100 buildings were burned down.	Mais de 100 casas foram totalmente queimadas.
burn down		desmoronar uma estrutura, destruir completamente		
call back		retornar uma ligação telefônica	he was one of only twelve applicants to receive a callback	
call for		exigir, requerer	desperate times call for desperate measures	tempos desesperadores requerem medidas desesperadoras
call in		chamar alguém para ajudar a resolver algo	the bank would call in loans and foreign donations	o banco solicitaria empréstimos e doações estrangeiras
call in		telefonar para o local onde você trabalha	She hasn't called in with her schedule yet.	Ela ainda não ligou com a agenda.
call in		pedir que alguém venha até você	Local police called in the FBI to assist with the investigation.	A polícia local chamou o FBI para ajudar na investigação.
call in		exigir o pagamento de um empréstimo ou promessa de dinheiro.	the bank would call in loans and foreign donations	o banco pediria empréstimos e doações estrangeiras
call off		cancelar um evento	The picnic was called off due to the rain.	O piquenique foi cancelado por causa da chuva.
call off		cancelar	the game was called off because of rain	
call out		gritar algo para chamar a atenção de alguém	the police were constantly called out for emergencies	
call out		convocar alguém para lidar com uma emergência ou prestar um serviço.	the police were constantly called out for emergencies	a polícia foi constantemente chamada para emergencies
call out		criticando, chamar a atenção para as ações ou comportamentos inaceitáveis de alguém.	people were calling him out for his negative comments	as pessoas estavam criticando-o por seus comentários negativos
